x,y,tick,distance_walked,walking_speed,cutting_speed,start_pos
32.499999999998295,24.0,399,23.500000000001705,0.5,1.0,"(2, 2)"
31.874999999998153,24.0,400,24.125000000001847,0.5,1.0,"(2, 2)"
31.24999999999801,24.0,401,24.75000000000199,0.5,1.0,"(2, 2)"
30.62499999999787,24.0,402,25.37500000000213,0.5,1.0,"(2, 2)"
29.999999999997726,24.0,403,26.000000000002274,0.5,1.0,"(2, 2)"
29.374999999997584,24.0,404,26.625000000002416,0.5,1.0,"(2, 2)"
28.749999999997442,24.0,405,27.250000000002558,0.5,1.0,"(2, 2)"
28.1249999999973,24.0,406,27.8750000000027,0.5,1.0,"(2, 2)"
27.499999999997158,24.0,407,28.500000000002842,0.5,1.0,"(2, 2)"
26.874999999997016,24.0,408,29.125000000002984,0.5,1.0,"(2, 2)"
26.249999999996874,24.0,409,29.750000000003126,0.5,1.0,"(2, 2)"
25.62499999999673,24.0,410,30.37500000000327,0.5,1.0,"(2, 2)"
24.99999999999659,24.0,411,31.00000000000341,0.5,1.0,"(2, 2)"
24.374999999996447,24.0,412,31.625000000003553,0.5,1.0,"(2, 2)"
24.0,24.0,413,32.0,0.5,1.0,"(2, 2)"
24.0,24.0,414,32.0,0.5,1.0,"(2, 2)"
24.0,24.0,415,32.0,0.5,1.0,"(2, 2)"
24.0,24.0,416,32.0,0.5,1.0,"(2, 2)"
24.0,24.0,417,32.0,0.5,1.0,"(2, 2)"
24.0,24.0,418,32.0,0.5,1.0,"(2, 2)"
24.0,24.625000000000142,419,32.62500000000014,0.5,1.0,"(2, 2)"
24.0,25.250000000000284,420,33.250000000000284,0.5,1.0,"(2, 2)"
24.0,25.875000000000426,421,33.875000000000426,0.5,1.0,"(2, 2)"
24.0,26.50000000000057,422,34.50000000000057,0.5,1.0,"(2, 2)"
24.0,27.12500000000071,423,35.12500000000071,0.5,1.0,"(2, 2)"
24.0,27.750000000000853,424,35.75000000000085,0.5,1.0,"(2, 2)"
24.0,28.375000000000995,425,36.375000000000995,0.5,1.0,"(2, 2)"
24.0,29.000000000001137,426,37.00000000000114,0.5,1.0,"(2, 2)"
24.0,29.62500000000128,427,37.62500000000128,0.5,1.0,"(2, 2)"
24.0,30.25000000000142,428,38.25000000000142,0.5,1.0,"(2, 2)"
24.0,30.875000000001563,429,38.87500000000156,0.5,1.0,"(2, 2)"
24.0,31.500000000001705,430,39.500000000001705,0.5,1.0,"(2, 2)"
24.551947324660773,31.79322201622783,431,40.12500000000163,0.5,1.0,"(2, 2)"
25.103894649321546,32.08644403245385,432,40.7500000000015,0.5,1.0,"(2, 2)"
25.65584197398232,32.37966604867962,433,41.37500000000125,0.5,1.0,"(2, 2)"
26.207789298643092,32.672888064905386,434,42.000000000001,0.5,1.0,"(2, 2)"
26.759736623303866,32.966110081131156,435,42.62500000000075,0.5,1.0,"(2, 2)"
27.31168394796464,33.259332097356925,436,43.250000000000504,0.5,1.0,"(2, 2)"
27.863631272625412,33.552554113582694,437,43.875000000000256,0.5,1.0,"(2, 2)"
28.415578597286185,33.84577612980846,438,44.50000000000001,0.5,1.0,"(2, 2)"
28.967525921946958,34.13899814603423,439,45.12499999999976,0.5,1.0,"(2, 2)"
29.51947324660773,34.43222016226,440,45.74999999999951,0.5,1.0,"(2, 2)"
30.071420571268504,34.72544217848577,441,46.37499999999926,0.5,1.0,"(2, 2)"
30.623367895929277,35.01866419471175,442,46.99999999999911,0.5,1.0,"(2, 2)"
31.17531522059005,35.31188621093783,443,47.62499999999901,0.5,1.0,"(2, 2)"
31.727262545250824,35.6051082271639,444,48.249999999998906,0.5,1.0,"(2, 2)"
32.2792098699116,35.89833024338998,445,48.8749999999988,0.5,1.0,"(2, 2)"
32.83115719457237,36.19155225961605,446,49.49999999999869,0.5,1.0,"(2, 2)"
33.38310451923314,36.48477427584213,447,50.124999999998586,0.5,1.0,"(2, 2)"
33.935051843893916,36.7779962920682,448,50.74999999999848,0.5,1.0,"(2, 2)"
34.48699916855469,37.07121830829428,449,51.37499999999837,0.5,1.0,"(2, 2)"
35.03894649321546,37.36444032452035,450,51.999999999998266,0.5,1.0,"(2, 2)"
35.590893817876236,37.657662340746434,451,52.62499999999817,0.5,1.0,"(2, 2)"
36.14284114253701,37.95088435697251,452,53.24999999999806,0.5,1.0,"(2, 2)"
36.69478846719778,38.24410637319858,453,53.874999999997954,0.5,1.0,"(2, 2)"
37.246735791858555,38.53732838942466,454,54.49999999999785,0.5,1.0,"(2, 2)"
37.79868311651933,38.83055040565073,455,55.12499999999774,0.5,1.0,"(2, 2)"
38.3506304411801,39.12377242187681,456,55.749999999997634,0.5,1.0,"(2, 2)"
38.902577765840874,39.41699443810288,457,56.37499999999753,0.5,1.0,"(2, 2)"
39.45452509050165,39.71021645432896,458,56.99999999999742,0.5,1.0,"(2, 2)"
40.0,40.0,459,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,460,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,461,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,462,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,463,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,464,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,465,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,466,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,467,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,468,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,469,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,470,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,471,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,472,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,473,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,474,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,475,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,476,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,477,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,478,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,479,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,480,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,481,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,482,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,483,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,484,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,485,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,486,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,487,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,488,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,489,57.61767093199432,0.5,1.0,"(2, 2)"
40.0,40.0,490,57.61767093199432,0.5,1.0,"(2, 2)"
39.558058261758475,39.558058261758475,491,58.242670931994226,0.5,1.0,"(2, 2)"
39.11611652351695,39.11611652351695,492,58.867670931994134,0.5,1.0,"(2, 2)"
38.674174785275426,38.674174785275426,493,59.49267093199404,0.5,1.0,"(2, 2)"
38.2322330470339,38.2322330470339,494,60.11767093199395,0.5,1.0,"(2, 2)"
37.790291308792376,37.790291308792376,495,60.74267093199386,0.5,1.0,"(2, 2)"
37.34834957055085,37.34834957055085,496,61.367670931993764,0.5,1.0,"(2, 2)"
36.90640783230933,36.90640783230933,497,61.99267093199367,0.5,1.0,"(2, 2)"
36.4644660940678,36.4644660940678,498,62.61767093199358,0.5,1.0,"(2, 2)"
36.02252435582628,36.02252435582628,499,63.24267093199349,0.5,1.0,"(2, 2)"
35.58058261758475,35.58058261758475,500,63.867670931993395,0.5,1.0,"(2, 2)"
35.13864087934323,35.13864087934323,501,64.4926709319933,0.5,1.0,"(2, 2)"
34.6966991411017,34.6966991411017,502,65.1176709319932,0.5,1.0,"(2, 2)"
34.25475740286018,34.25475740286018,503,65.7426709319931,0.5,1.0,"(2, 2)"
33.812815664618654,33.812815664618654,504,66.367670931993,0.5,1.0,"(2, 2)"
33.37087392637713,33.37087392637713,505,66.9926709319929,0.5,1.0,"(2, 2)"
32.928932188135605,32.928932188135605,506,67.6176709319928,0.5,1.0,"(2, 2)"
32.48699044989408,32.48699044989408,507,68.2426709319927,0.5,1.0,"(2, 2)"
32.045048711652555,32.045048711652555,508,68.8676709319926,0.5,1.0,"(2, 2)"
31.60310697341103,31.60310697341103,509,69.4926709319925,0.5,1.0,"(2, 2)"
31.161165235169506,31.161165235169506,510,70.11767093199241,0.5,1.0,"(2, 2)"
30.71922349692798,30.71922349692798,511,70.74267093199231,0.5,1.0,"(2, 2)"
30.277281758686456,30.277281758686456,512,71.36767093199221,0.5,1.0,"(2, 2)"
29.83534002044493,29.83534002044493,513,71.99267093199211,0.5,1.0,"(2, 2)"
29.393398282203407,29.393398282203407,514,72.61767093199201,0.5,1.0,"(2, 2)"
28.951456543961882,28.951456543961882,515,73.24267093199191,0.5,1.0,"(2, 2)"
28.509514805720357,28.509514805720357,516,73.86767093199181,0.5,1.0,"(2, 2)"
28.067573067478833,28.067573067478833,517,74.49267093199171,0.5,1.0,"(2, 2)"
27.625631329237308,27.625631329237308,518,75.11767093199161,0.5,1.0,"(2, 2)"
27.183689590995783,27.183689590995783,519,75.74267093199151,0.5,1.0,"(2, 2)"
26.74174785275426,26.74174785275426,520,76.36767093199141,0.5,1.0,"(2, 2)"
26.299806114512734,26.299806114512734,521,76.99267093199131,0.5,1.0,"(2, 2)"
25.85786437627121,25.85786437627121,522,77.61767093199121,0.5,1.0,"(2, 2)"
25.415922638029684,25.415922638029684,523,78.24267093199111,0.5,1.0,"(2, 2)"
24.97398089978816,24.97398089978816,524,78.86767093199101,0.5,1.0,"(2, 2)"
24.532039161546635,24.532039161546635,525,79.49267093199092,0.5,1.0,"(2, 2)"
24.0,24.0,526,80.24508792996377,0.5,1.0,"(2, 2)"
24.441941738241525,24.441941738241525,527,80.87008792996367,0.5,1.0,"(2, 2)"
24.88388347648305,24.88388347648305,528,81.49508792996357,0.5,1.0,"(2, 2)"
25.325825214724574,25.325825214724574,529,82.12008792996347,0.5,1.0,"(2, 2)"
25.7677669529661,25.7677669529661,530,82.74508792996338,0.5,1.0,"(2, 2)"
26.209708691207624,26.209708691207624,531,83.37008792996328,0.5,1.0,"(2, 2)"
26.65165042944915,26.65165042944915,532,83.99508792996318,0.5,1.0,"(2, 2)"
27.093592167690673,27.093592167690673,533,84.62008792996308,0.5,1.0,"(2, 2)"
27.535533905932198,27.535533905932198,534,85.24508792996298,0.5,1.0,"(2, 2)"
27.977475644173722,27.977475644173722,535,85.87008792996288,0.5,1.0,"(2, 2)"
28.419417382415247,28.419417382415247,536,86.49508792996278,0.5,1.0,"(2, 2)"
28.861359120656772,28.861359120656772,537,87.12008792996268,0.5,1.0,"(2, 2)"
29.303300858898297,29.303300858898297,538,87.74508792996258,0.5,1.0,"(2, 2)"
29.74524259713982,29.74524259713982,539,88.37008792996248,0.5,1.0,"(2, 2)"
30.187184335381346,30.187184335381346,540,88.99508792996238,0.5,1.0,"(2, 2)"
30.62912607362287,30.62912607362287,541,89.62008792996228,0.5,1.0,"(2, 2)"
31.071067811864395,31.071067811864395,542,90.24508792996218,0.5,1.0,"(2, 2)"
31.51300955010592,31.51300955010592,543,90.87008792996208,0.5,1.0,"(2, 2)"
31.954951288347445,31.954951288347445,544,91.49508792996198,0.5,1.0,"(2, 2)"
32.39689302658897,32.39689302658897,545,92.12008792996188,0.5,1.0,"(2, 2)"
32.838834764830494,32.838834764830494,546,92.74508792996178,0.5,1.0,"(2, 2)"
33.28077650307202,33.28077650307202,547,93.37008792996168,0.5,1.0,"(2, 2)"
33.722718241313544,33.722718241313544,548,93.99508792996158,0.5,1.0,"(2, 2)"
34.16465997955507,34.16465997955507,549,94.62008792996149,0.5,1.0,"(2, 2)"
34.60660171779659,34.60660171779659,550,95.24508792996139,0.5,1.0,"(2, 2)"
35.04854345603812,35.04854345603812,551,95.87008792996129,0.5,1.0,"(2, 2)"
35.49048519427964,35.49048519427964,552,96.49508792996119,0.5,1.0,"(2, 2)"
35.93242693252117,35.93242693252117,553,97.12008792996109,0.5,1.0,"(2, 2)"
36.37436867076269,36.37436867076269,554,97.74508792996099,0.5,1.0,"(2, 2)"
36.81631040900422,36.81631040900422,555,98.37008792996089,0.5,1.0,"(2, 2)"
