tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
2560,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,957.4091205856424,147.16315095265486,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],,,
2892,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1267.2625644762024,140.48597489636336,2.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,False
2916,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1267.2625644762024,0.0,2.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],"['player_5e8c79a4', 'player_5e8c79a4']",['player_5e8c79a4'],False
2976,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1267.2625644762024,0.0,2.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],"['player_5e8c79a4', 'player_5e8c79a4']",['player_5e8c79a4'],False
2998,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1117.8468249738326,160.43770438819013,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,,[],,,
3132,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1405.1249760846,137.86241160839768,3.0,1.0,2.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,"['player_5e8c79a4', 'player_5e8c79a4']","['player_5e8c79a4', 'player_5e8c79a4']",['player_5e8c79a4'],
3153,plate,put down,Counter_23,Counter,23,put down plate on counter,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1178.903185673796,61.05636069996331,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],,,
3237,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1437.1249760845994,31.99999999999932,3.0,0.0,2.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,,[],,,
3397,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1287.5311928244605,108.62800715066442,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],,,False
3416,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1606.2730432596732,169.14806717507372,3.0,0.0,2.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,
3444,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1287.5311928244605,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],"['player_f02436cd', 'player_f02436cd']",['player_f02436cd'],False
3544,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1287.5311928244605,0.0,3.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],"['player_f02436cd', 'player_f02436cd']",['player_f02436cd'],False
3629,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1782.508200936083,176.23515767640993,3.0,0.0,2.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,,[],,,
3715,plate,put down,Counter_22,Counter,22,put down plate on counter,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1836.9852105196392,54.47700958355631,3.0,0.0,2.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,
3806,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1402.7077848362487,115.17659201178844,4.0,1.0,2.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,"['player_f02436cd', 'player_f02436cd']","['player_f02436cd', 'player_f02436cd']",['player_f02436cd'],
3960,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1457.2411509553174,54.53336611906866,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,,[],,,
4104,plate,put down,Counter_23,Counter,23,put down plate on counter,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1518.2975116552807,61.05636069996331,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],,,
4203,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,1556.830877774351,38.53336611907025,4.0,0.0,2.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,,[],,,
