tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
1088,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,213.90301018347543,16.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,
1108,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,690.467901759308,15.999999999999318,1.0,0.0,1.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_6e05aa43,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
1169,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,722.4679017593066,31.999999999998636,2.0,1.0,2.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,"['player_6e05aa43', 'player_0b0ec9a4']","['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],
1190,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,213.90301018347543,0.0,2.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,False
1223,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,760.9511248450783,38.48322308577167,2.0,0.0,2.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
1257,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,229.90301018347543,16.0,2.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
1279,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,799.4343479308498,38.48322308577144,2.0,0.0,2.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
1340,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,844.6891819267876,45.254833995937815,2.0,0.0,2.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
1352,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,245.90301018347543,16.0,2.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,True
1388,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,245.90301018347543,0.0,2.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,
1411,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,905.6914435145652,61.00226158777775,2.0,0.0,2.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
1463,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,937.691443514564,31.99999999999875,2.0,0.0,2.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_6e05aa43,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
1527,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,976.174666600336,38.48322308577201,3.0,1.0,3.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,"['player_6e05aa43', 'player_0b0ec9a4']","['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],
1577,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,261.90301018347543,15.999999999999972,3.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,True
1588,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,1008.174666600335,31.999999999998863,3.0,0.0,3.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
1636,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,1046.6578896861065,38.48322308577133,3.0,0.0,3.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
1677,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,293.90301018347407,31.999999999998636,3.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,
1703,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,1101.134899269662,54.477009583555855,3.0,0.0,3.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
1775,plate,put down,Counter_23,Counter,23,put down plate on counter,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,1162.1371608574448,61.00226158778264,3.0,0.0,3.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,player_0b0ec9a4,['player_0b0ec9a4'],,,
1800,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,293.90301018347407,0.0,3.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,False
1848,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_0b0ec9a4,encouraged_division_of_labor_v2,77b2072f620b5cbc,1223.139422445227,61.002261587782186,3.0,0.0,3.0,1.0,0.2,"(5, 2)",65ebc0459e72647fd829c07c,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0b0ec9a4_actions,,[],,,
1873,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,309.90301018347316,15.99999999999909,3.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_0b0ec9a4,['player_6e05aa43'],"['player_0b0ec9a4', 'player_6e05aa43', 'player_6e05aa43']",['player_0b0ec9a4'],True
1929,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_6e05aa43,encouraged_division_of_labor_v2,77b2072f620b5cbc,309.90301018347316,0.0,3.0,0.0,0.0,0.4,1.0,"(1, 2)",67788cee243102d88d2fd53b,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_6e05aa43_actions,player_6e05aa43,"['player_0b0ec9a4', 'player_6e05aa43']",,,False
