Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e9a2bfe692c3e1141ea4bc,614f23fabc0fcaa3cdfb9e05,APPROVED,Not Applicable,2025-10-11T00:20:20.736000Z,2025-10-11T00:28:47.085000Z,2025-11-01T00:02:50.299000Z,2025-10-11T00:29:02.966430Z,507.0,CX0Z37FL,8085,49,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2c31d7dbc65cc0c360c,5f7529755aaa0e1a6e804640,APPROVED,Not Applicable,2025-10-11T00:20:24.872000Z,2025-10-11T00:28:22.146000Z,2025-11-01T00:02:50.800000Z,2025-10-11T00:28:22.533025Z,478.0,CX0Z37FL,8092,49,Male,White,United States,United States,United States,English,No,Full-Time
68e9a2c503646cfbd6ce0165,66efb1a42f0e7d846aa5d9ac,APPROVED,Not Applicable,2025-10-11T00:20:25.119000Z,2025-10-11T00:27:57.252000Z,2025-11-01T00:02:51.704000Z,2025-10-11T00:27:57.671174Z,453.0,NOCODE,350,54,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2cb6175fa9bf066d7ff,63d3ff28c338c75425b282b9,APPROVED,Not Applicable,2025-10-11T00:20:31.374000Z,2025-10-11T00:28:00.868000Z,2025-11-01T00:02:52.285000Z,2025-10-11T00:28:01.257072Z,450.0,CX0Z37FL,3072,48,Male,White,United States,United States,United States,English,No,Full-Time
68e9a2d142d94078396d2d32,6758de6c918d844588f31949,APPROVED,Not Applicable,2025-10-11T00:20:40.261000Z,2025-10-11T00:33:06.092000Z,2025-11-01T00:02:53.047000Z,2025-10-11T23:42:59.886866Z,746.0,CX0Z37FL,1377,46,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2d7952d85e01849b779,5a8e0b412a842c0001fd1112,APPROVED,Not Applicable,2025-10-11T00:20:44.778000Z,2025-10-11T00:26:31.445000Z,2025-11-01T00:02:54.222000Z,2025-10-11T00:26:31.887812Z,347.0,CX0Z37FL,1503,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e9a2dae1a3814f25e1627a,584626b7e0ba710001a47438,APPROVED,Not Applicable,2025-10-11T00:20:54.675000Z,2025-10-11T00:31:23.685000Z,2025-11-01T00:02:54.775000Z,2025-10-11T00:31:24.080953Z,630.0,CX0Z37FL,4450,34,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
68e9a2e26958b2670a6cbf3e,674cca92742faa4642a6e9c7,APPROVED,Not Applicable,2025-10-11T00:21:07.304000Z,2025-10-11T00:32:42.647000Z,2025-11-01T00:02:55.108000Z,2025-10-11T00:32:44.819506Z,696.0,NOCODE,591,54,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68e9a2e345351927c8d00bbf,6650a07f83dde5b6da54d674,APPROVED,Not Applicable,2025-10-11T00:21:17.341000Z,2025-10-11T00:35:55.141000Z,2025-11-01T00:02:55.396000Z,2025-10-11T00:35:55.548443Z,878.0,CX0Z37FL,1004,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2f313b9a715a9005dd8,559cb12dfdf99b4989fb18ed,APPROVED,Not Applicable,2025-10-11T00:21:12.060000Z,2025-10-11T00:27:06.151000Z,2025-11-01T00:02:55.720000Z,2025-10-11T00:27:06.556418Z,355.0,CX0Z37FL,7463,41,Female,Other,United States,United States,United States,English,No,Full-Time
68e9a30a3afc96160642468e,5d41fdd8ca81250001493117,APPROVED,Not Applicable,2025-10-11T00:21:43.436000Z,2025-10-11T01:01:00.663000Z,2025-11-01T00:02:56.288000Z,2025-10-11T01:01:02.158146Z,2358.0,5d41fdd8ca81250001493117,1974,42,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a30fdb5b0a8fa4f3b899,63b6c18f4f13282703357493,APPROVED,Not Applicable,2025-10-11T00:21:39.443000Z,2025-10-11T00:33:52.393000Z,2025-11-01T00:02:56.608000Z,2025-10-11T00:33:52.806526Z,733.0,CX0Z37FL,6970,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a3126fbcad617d61bb58,608c3edc26807a430a986065,APPROVED,Not Applicable,2025-10-11T00:21:49.526000Z,2025-10-11T00:27:03.384000Z,2025-11-01T00:02:56.879000Z,2025-10-11T00:27:03.919070Z,314.0,CX0Z37FL,1031,29,Female,White,United States,United States,United States,English,No,Full-Time
68e9a32228f3d16ff57963b6,5edc7aed858a159580341afa,APPROVED,Not Applicable,2025-10-11T00:21:59.701000Z,2025-10-11T00:29:31.910000Z,2025-11-01T00:02:57.149000Z,2025-10-11T00:29:32.297966Z,453.0,CX0Z37FL,1311,33,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
68e9a3672c477f723e49f98d,5c12b0ba17e18d0001e7629e,APPROVED,Not Applicable,2025-10-11T00:23:06.476000Z,2025-10-11T00:33:49.625000Z,2025-11-01T00:02:57.483000Z,2025-10-11T00:33:50.952933Z,644.0,CX0Z37FL,1759,33,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a38a8eac0bf06876bb62,5b9dd07de671c60001226b79,APPROVED,Not Applicable,2025-10-11T00:23:42.102000Z,2025-10-11T00:29:50.715000Z,2025-11-01T00:02:57.751000Z,2025-10-11T00:29:52.046374Z,369.0,CX0Z37FL,2622,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a39babafd590f18e2fa3,66e8e576357d882730f188cd,APPROVED,Not Applicable,2025-10-11T00:23:59.221000Z,2025-10-11T00:28:17.538000Z,2025-11-01T00:02:58.029000Z,2025-10-11T00:28:19.695199Z,259.0,NOCODE,1508,49,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e9a3cf6fbcad617d61bb63,66ac140ffbe9e717e0d21357,APPROVED,Not Applicable,2025-10-11T00:26:18.653000Z,2025-10-11T00:34:48.557000Z,2025-11-01T00:02:58.302000Z,2025-10-11T00:34:48.963295Z,510.0,CX0Z37FL,1307,53,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68e9a4257c63c9c4987341d9,5f58d7941af44708223b94da,APPROVED,Not Applicable,2025-10-11T00:26:15.696000Z,2025-10-11T00:32:56.657000Z,2025-11-01T00:02:58.580000Z,2025-10-11T00:32:57.112878Z,401.0,CX0Z37FL,4091,32,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
68e9a43cadd5533531c23fc7,670181df01d5807d3bca5093,APPROVED,Not Applicable,2025-10-11T00:26:44.699000Z,2025-10-11T00:46:56.596000Z,2025-11-01T00:02:58.911000Z,2025-10-11T00:46:56.998026Z,1212.0,CX0Z37FL,1392,33,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
68e9a44760094a5765c17199,67689cd5ff8e505d86353c0a,APPROVED,Not Applicable,2025-10-11T00:26:52.851000Z,2025-10-11T00:32:33.732000Z,2025-11-01T00:02:59.317000Z,2025-10-11T00:32:34.169543Z,341.0,CX0Z37FL,129,32,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a44ecd2f144ef53cb4e3,66c3366a3b5834b89124e85a,APPROVED,Not Applicable,2025-10-11T00:26:58.187000Z,2025-10-11T00:34:04.267000Z,2025-11-01T00:03:00.528000Z,2025-10-11T00:34:04.716658Z,427.0,CX0Z37FL,4688,49,Female,White,United States,United States,United States,English,No,Full-Time
68e9a472ff88fb18f0f632f1,66293a86e40515e886439323,APPROVED,Not Applicable,2025-10-11T00:30:52.247000Z,2025-10-11T00:43:20.524000Z,2025-11-01T00:03:01.952000Z,2025-10-11T00:43:20.909834Z,749.0,NOCODE,2169,47,Female,White,United States,United States,United States,English,No,Full-Time
68e9a4918428c62eb3982201,60734853295f4a6404bbf27f,APPROVED,Not Applicable,2025-10-11T00:28:35.333000Z,2025-10-11T00:44:08.391000Z,2025-11-01T00:03:02.798000Z,2025-10-11T00:44:15.320853Z,934.0,CX0Z37FL,5408,40,Female,White,United States,United States,United States,English,No,Full-Time
68e9a4ad90d771dbab85b814,676c45d92368330a2c254895,APPROVED,Not Applicable,2025-10-11T00:28:37.776000Z,2025-10-11T00:36:37.039000Z,2025-11-01T00:03:03.474000Z,2025-10-11T00:36:37.463219Z,480.0,CX0Z37FL,1378,33,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a4b2e404f8ac7415528b,6673c06ef972fa4885e8ec49,APPROVED,Not Applicable,2025-10-11T00:28:37.923000Z,2025-10-11T00:35:15.124000Z,2025-11-01T00:03:04.177000Z,2025-10-11T00:35:15.500873Z,398.0,CX0Z37FL,3952,22,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
68e9a4bfd7af1d083e5a68f7,671850082109a84899a43a8e,APPROVED,Not Applicable,2025-10-11T00:28:50.704000Z,2025-10-11T00:35:16.820000Z,2025-11-01T00:03:04.656000Z,2025-10-11T00:35:21.097447Z,387.0,CX0Z37FL,789,38,Male,White,United States,United States,United States,English,Yes,Full-Time
68e9a50b2aea29c1aa660fba,5a907927873cda0001dc4719,APPROVED,Not Applicable,2025-10-11T00:30:07.252000Z,2025-10-11T00:36:30.044000Z,2025-11-01T00:03:05.223000Z,2025-10-11T00:36:30.512891Z,383.0,CX0Z37FL,3031,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a6bfeba9a8185e4e0a5c,6792bc71c44713127c2b0dff,APPROVED,Not Applicable,2025-10-11T00:37:22.984000Z,2025-10-11T00:43:53.530000Z,2025-11-01T00:03:05.744000Z,2025-10-11T00:43:53.908634Z,391.0,CX0Z37FL,544,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a72fdfda6d5a7fd9d6ff,671fdd9a9df958c9a3026971,APPROVED,Not Applicable,2025-10-11T00:39:23.800000Z,2025-10-11T00:46:56.622000Z,2025-11-01T00:03:06.306000Z,2025-10-11T00:46:57.038871Z,453.0,CX0Z37FL,231,55,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a915fa24ca553713ebf4,671d1dcbc6f5d2e81501e24a,APPROVED,Not Applicable,2025-10-11T00:47:20.954000Z,2025-10-11T00:55:03.333000Z,2025-11-01T00:03:07.716000Z,2025-10-11T00:55:03.739592Z,463.0,CX0Z37FL,3680,26,Male,White,United States,United States,United States,English,Yes,Full-Time
68e9a940ba2d185970c7e8f5,672c2562333d511af60d4ae4,APPROVED,Not Applicable,2025-10-11T00:48:26.594000Z,2025-10-11T00:55:05.117000Z,2025-11-01T00:03:08.578000Z,2025-10-11T00:55:07.207048Z,399.0,CX0Z37FL,3408,47,Female,White,United States,United States,United States,English,No,Part-Time
68e9b07e65dca22ab4cc020c,5d30790f326b0f0017a2a828,APPROVED,Not Applicable,2025-10-11T01:19:02.193000Z,2025-10-11T01:24:49.023000Z,2025-11-01T00:03:09.131000Z,2025-10-11T01:24:51.414905Z,347.0,CX0Z37FL,3430,32,Male,White,United States,United States,United States,English,Yes,Full-Time
68e9b7f8a25b0ed126088bba,65baa72531ba3e8cb06d96ea,APPROVED,Not Applicable,2025-10-11T01:50:52.437000Z,2025-10-11T02:19:05.832000Z,2025-11-01T00:03:09.716000Z,2025-10-11T02:19:06.455270Z,1694.0,NOCODE,907,21,Female,Mixed,United States,United States,Puerto Rico,English,DATA_EXPIRED,DATA_EXPIRED
68e8427db016c151ea14debd,662a94bd827a5f8f446898e9,RETURNED,Not Applicable,2025-10-09T23:17:28.593000Z,,,,,,2449,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e84289a35df828c705a4e9,5fd393664d8c020163cb3ef2,RETURNED,Not Applicable,2025-10-09T23:17:34.117000Z,,,,,,929,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
