tick,phase,CuttingBoard_01_slot_x,CuttingBoard_01_slot_y,CuttingBoard_01_item,CuttingBoard_01_cut_time_accumulated,CuttingBoard_01_cut_stage,CuttingBoard_02_slot_x,CuttingBoard_02_slot_y,CuttingBoard_02_item,CuttingBoard_02_cut_time_accumulated,CuttingBoard_02_cut_stage,CuttingBoard_10_slot_x,CuttingBoard_10_slot_y,CuttingBoard_10_item,CuttingBoard_10_cut_time_accumulated,CuttingBoard_10_cut_stage,Counter_22_slot_x,Counter_22_slot_y,Counter_22_item,Counter_23_slot_x,Counter_23_slot_y,Counter_23_item,Counter_24_slot_x,Counter_24_slot_y,Counter_24_item,Counter_25_slot_x,Counter_25_slot_y,Counter_25_item,Counter_26_slot_x,Counter_26_slot_y,Counter_26_item,Counter_27_slot_x,Counter_27_slot_y,Counter_27_item,Dispenser_50_slot_x,Dispenser_50_slot_y,Dispenser_50_item,Delivery_53_slot_x,Delivery_53_slot_y,Delivery_53_item,Dispenser_60_slot_x,Dispenser_60_slot_y,Dispenser_60_item,Delivery_63_slot_x,Delivery_63_slot_y,Delivery_63_item,Delivery_73_slot_x,Delivery_73_slot_y,Delivery_73_item,Dispenser_80_slot_x,Dispenser_80_slot_y,Dispenser_80_item,Delivery_83_slot_x,Delivery_83_slot_y,Delivery_83_item,Dispenser_91_slot_x,Dispenser_91_slot_y,Dispenser_91_item,Delivery_93_slot_x,Delivery_93_slot_y,Delivery_93_item,06699effb31f1142_score,player_8a1a4865_x,player_8a1a4865_y,player_8a1a4865_move_target,player_8a1a4865_item,player_8a1a4865_score,player_8a1a4865_cut_speed,player_8a1a4865_speed,player_c5ca9a03_x,player_c5ca9a03_y,player_c5ca9a03_move_target,player_c5ca9a03_item,player_c5ca9a03_score,player_c5ca9a03_cut_speed,player_c5ca9a03_speed,544d54afaf934d06_score,866cd92a4c9f6ea7_message,48d25d6115b00814_score
1519,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,55.25000000000483,,tomato_cut,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1520,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,tomato_cut,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1521,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1522,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1523,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1524,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1525,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1526,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1527,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1528,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1529,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1530,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1531,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1532,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,56.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1533,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,54.749999999999716,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1534,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,53.49999999999943,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1535,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,52.24999999999915,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1536,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,50.99999999999886,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1537,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,49.74999999999858,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1538,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,48.499999999998295,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1539,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,47.24999999999801,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1540,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,45.999999999997726,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1541,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,44.74999999999744,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1542,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,43.49999999999716,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1543,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,42.249999999996874,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1544,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.99999999999659,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1545,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,39.749999999996305,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1546,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,38.49999999999602,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1547,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,37.24999999999574,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1548,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,35.99999999999545,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1549,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,34.74999999999517,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1550,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,33.499999999994884,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1551,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,32.2499999999946,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1552,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,30.999999999994603,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1553,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,29.749999999994674,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1554,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,28.499999999994746,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1555,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,27.249999999994817,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1556,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,25.999999999994888,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1557,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.74999999999496,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1558,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1559,train,0,1,tomato,0.5833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1560,train,0,1,tomato,0.6249999999999999,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1561,train,0,1,tomato,0.6666666666666665,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1562,train,0,1,tomato,0.7083333333333331,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1563,train,0,1,tomato,0.7499999999999998,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1564,train,0,1,tomato,0.7916666666666664,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1565,train,0,1,tomato,0.833333333333333,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1566,train,0,1,tomato,0.8749999999999997,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1567,train,0,1,tomato,0.9166666666666663,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1568,train,0,1,tomato,0.9583333333333329,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1569,train,0,1,tomato,0.9999999999999996,0,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1570,train,0,1,tomato,1.0416666666666663,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1571,train,0,1,tomato,1.083333333333333,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1572,train,0,1,tomato,1.1249999999999998,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1573,train,0,1,tomato,1.1666666666666665,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1574,train,0,1,tomato,1.2083333333333333,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1575,train,0,1,tomato,1.25,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1576,train,0,1,tomato,1.2916666666666667,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1577,train,0,1,tomato,1.3333333333333335,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1578,train,0,1,tomato,1.3750000000000002,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
1579,train,0,1,tomato,1.416666666666667,1,0,2,None_cut,3.2083333333333304,3,1,0,None_cut,4.0,3,2,2,tomato_cut,2,3,tomato_cut,2,4,tomato,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,24.0,,,0,1.0,30.0,56.0,72.0,,tomato,0,1.0,30.0,,,
